imdbID,actorID,actorName
240772,93,Brad Pitt
137523,93,Brad Pitt
97239,101,Dan Aykroyd
240772,123,George Clooney
97239,151,Morgan Freeman
114709,158,Tom Hanks
240772,210,Julia Roberts
169547,228,Kevin Spacey
113497,245,Robin Williams
169547,301,Thora Birch
137523,307,Helena Bonham Carter
240772,332,Don Cheadle
240772,354,Matt Damon
113497,379,Kirsten Dunst
114709,388,R. Lee Ermey
240772,412,Andy Garcia
240772,729,Casey Affleck
114709,741,Tim Allen
169547,836,Scott Bakula
169547,906,Annette Bening
240772,1061,Holly Marie Combs
240772,1141,Angie Dickinson
169547,1251,Peter Gallagher
240772,1285,Elliott Gould
113497,1372,Bonnie Hunt
137523,1467,Jared Leto
137523,1533,Meat Loaf
113497,1564,Bebe Neuwirth
137523,1570,Edward Norton
114709,1633,Annie Potts
114709,1652,John Ratzenberger
114709,1728,Wallace Shawn
240772,1752,Steven Soderbergh
97239,1788,Jessica Tandy
114709,1815,Jim Varney
240772,2262,J.P. Manoux
169547,2546,Mena Suvari
114709,4056,Andrew Stanton
169547,4747,Wes Bentley
240772,4790,Scott Caan
113497,4979,David Alan Grier
169547,5049,Allison Janney
240772,5170,Bernie Mac
240772,5348,Carl Reiner
137523,28625,David Andrews
2297164,46277,Bae Doona
137523,47248,Eion Bailey
137523,94163,Eugenie Bondurant
2297164,94435,Bong Joon Ho
113497,120410,Laura Bell Bundy
169547,158626,John Cho
113497,165101,Patricia Clarkson
169547,177933,Chris Cooper
240772,333410,Topher Grace
113497,404993,Jonathan Hyde
240772,500610,David Leitch
97239,526985,Patti LuPone
137523,564697,Holt McCallany
97239,571964,Ray McKinnon
114709,582418,Laurie Metcalf
113497,682300,Bradley Pierce
114709,725543,Don Rickles
240772,755179,Robin Sachs
240772,798328,Henry Silva
169547,807291,Amber Smith
114709,902184,Erik von Detten
113497,919798,Frank Welker
114709,921942,Billy West
169547,935441,Marissa Jaret Winokur
137523,935616,Matt Winston
2297164,3011350,Ma Dong-seok
137523,93,Brad Pitt
137523,245,Robin Williams
113497,93,Brad Pitt
